"MyUniID" "NS1" "refCoupNum" "coup1" "coup2" "coup3" "interviewDt" "interviewDt2"
216 150 3213 32131 32132 32133 1231459203 "9/24/09"
217 800 3211 32111 32112 32113 1231459203 "9/24/09"
218 100 3212 32121 32122 32123 1231459203 "9/24/09"
219 150 323 3231 3232 3233 1231454264 "9/25/09"
220 50 1332312 13323121 13323122 13323123 1231454264 "9/25/09"
221 400 1332313 13323131 13323132 13323133 1231454264 "9/25/09"
223 20 1332311 13323111 13323112 13323113 1231454264 "9/25/09"
224 20 1321211 13212111 13212112 13212113 1231459304 "9/28/09"
225 30 1321212 13212121 13212122 13212123 1231459304 "9/28/09"
226 30 1321213 13212131 13212132 13212133 1231459304 "9/28/09"
227 20 13131311 131313111 131313112 131313113 1231457704 "9/29/09"
228 30 13131312 131313121 131313122 131313123 1231457704 "9/29/09"
229 20 13131313 131313131 131313132 131313133 1231457704 "9/29/09"
230 300 1321121 13211211 13211212 13211213 1231457704 "9/29/09"
231 50 1321123 13211231 13211232 13211233 1231457704 "9/29/09"
232 100 1321122 13211221 13211222 13211223 1231457704 "9/29/09"
233 30 3222 32221 32222 32223 1231457704 "9/29/09"
234 50 3221 32211 32212 32213 1231457704 "9/29/09"
235 200 32112 321121 321122 321123 1231457704 "9/29/09"
236 20 32111 321111 321112 321113 1231457704 "9/29/09"
238 20 1322313 13223131 13223132 13223133 1231459384 "9/30/09"
239 30 1322312 13223121 13223122 13223123 1231459384 "9/30/09"
240 60 1322311 13223111 13223112 13223113 1231459384 "9/30/09"
241 400 1322333 13223331 13223332 13223333 1231459384 "9/30/09"
242 20 1322331 13223311 13223312 13223313 1231459384 "9/30/09"
243 60 1322332 13223321 13223322 13223323 1231459384 "9/30/09"
244 150 112313 1123131 1123132 1123133 1231545600 "10/1/09"
245 50 112312 1123121 1123122 1123123 1231545600 "10/1/09"
246 400 112311 1123111 1123112 1123113 1231545600 "10/1/09"
247 240 1321313 13213131 13213132 13213133 1231545600 "10/1/09"
248 40 1321312 13213121 13213122 13213123 1231545600 "10/1/09"
249 300 13131323 131313231 131313232 131313233 1231545600 "10/1/09"
